Date,Close,High,Low,Open,Volume
2016-03-29,24.49370766,24.51872923,23.85679778,23.85907294,124760400
2016-03-30,24.92134666,25.11696892,24.702978,24.71435208,182404400
2016-03-31,24.79169464,24.998691,24.76667306,24.95774676,103553600
2016-04-01,25.01915359,25.02142876,24.6119865,24.74391809,103496000
2016-04-04,25.27619743,25.51958767,25.08284861,25.11696909,149424800
2016-04-05,24.97821426,25.18748576,24.88950205,24.90997503,106314800
2016-04-06,25.23980141,25.24435173,24.839458,25.07375105,105616400
2016-04-07,24.68933105,25.11696948,24.59379509,25.01005944,127207600
2016-04-08,24.71661949,24.96910682,24.60515917,24.77348637,94326800
2016-04-11,24.79851151,25.16018581,24.75529385,24.78713917,117630000
2016-04-12,25.12151718,25.13516468,24.71662521,24.87130148,108929200
2016-04-13,25.485466,25.55370523,25.20340671,25.20340671,133029200
2016-04-14,25.49911118,25.56507697,25.32396193,25.38992773,101895600
2016-04-15,24.98731613,25.54461281,24.96002113,25.50139341,187756000
2016-04-18,24.44822502,24.78260103,24.32539228,24.76895352,243286000
2016-04-19,24.31855774,24.56649655,24.16387973,24.53919982,129539600
2016-04-20,24.36860085,24.58696951,24.12521061,24.25714222,122444000
2016-04-21,24.10473824,24.32310689,24.00237679,24.32310689,126210000
2016-04-22,24.03876686,24.22074157,23.79765185,23.88636404,134732400
2016-04-25,23.90229034,24.03194678,23.77263391,23.88409252,112126400
2016-04-26,23.73623848,23.95233369,23.63615394,23.63615394,224064800
2016-04-27,22.25087929,22.4533253,21.76409879,21.83688835,458408400
2016-04-28,21.57074738,22.26452234,21.43881578,22.20310686,328970800
2016-04-29,21.32281494,21.54573398,21.04303073,21.37968185,274126000
2016-05-02,21.30006409,21.40015038,21.01800477,21.3751288,192640400
2016-05-03,21.65036011,21.77774137,21.3091588,21.42744116,227325200
2016-05-04,21.42517281,21.81414218,21.34100917,21.65491382,164102000
2016-05-05,21.33820343,21.5281514,21.21004661,21.51213179,143562000
2016-05-06,21.21920395,21.3862653,21.02010165,21.36795842,174799600
2016-05-09,21.23522568,21.45950017,21.18945413,21.2832845,131745600
2016-05-10,21.37939835,21.41372657,21.07960215,21.35880246,134747200
2016-05-11,21.17114067,21.41372371,21.15969735,21.39312783,114876400
2016-05-12,20.67453384,21.2329345,20.47543329,21.21920391,305258800
2016-05-13,20.71573067,20.97891143,20.59672812,20.59672812,177571200
2016-05-16,21.48467255,21.60138781,20.97433244,21.1436828,245039200
2016-05-17,21.39541626,21.67232753,21.28556806,21.63800106,187667600
2016-05-18,21.64029121,21.78904568,21.48696046,21.54875161,168249600
2016-05-19,21.55790329,21.65859894,21.41372685,21.65859894,121768400
2016-05-20,21.79133606,21.83939488,21.63113826,21.65860119,128104000
2016-05-23,22.06824303,22.24217139,21.89431467,21.94008621,152074400
2016-05-24,22.40465927,22.44814006,22.16207444,22.24903951,140560800
2016-05-25,22.79828262,22.8257438,22.45271492,22.58087174,152675200
2016-05-26,22.97908211,23.05231484,22.57401217,22.812019,225324800
2016-05-27,22.9653511,22.99281404,22.71361367,22.75709621,145364800
2016-05-31,22.85321045,22.97679101,22.61520364,22.79370831,169228800
2016-06-01,22.53281212,22.77997318,22.50306193,22.66096893,116693200
